work_0, idle_0, heavy_0, work_1, idle_1, heavy_1, work_2, idle_2, heavy_2, work_3, idle_3, heavy_3, chunk_time, total_idle, total_heavy
0.0102821,0.0015799999,96,0.0102727,0.0015893998,100,0.0102409,0.0016211998,105,0.0102047,0.0016574003,93,0.0118621,0.0064479997,394
0.0102519,1.3699755e-05,102,0.0102503,1.5299767e-05,107,0.0102485,1.7100014e-05,96,0.0102487,1.689978e-05,102,0.0102656,6.2999316e-05,407
0.0103954,1.2299977e-05,91,0.0103928,1.490023e-05,102,0.0103943,1.3399869e-05,104,0.010391,1.6700476e-05,104,0.0104077,5.7300553e-05,401
0.0104342,2.3200177e-05,99,0.0104346,2.280064e-05,104,0.0104344,2.2999942e-05,101,0.0104406,1.6800128e-05,81,0.0104574,8.5800886e-05,385
0.0104556,1.7499551e-05,101,0.0104575,1.5599653e-05,92,0.0104507,2.239924e-05,105,0.0104457,2.739951e-05,105,0.0104731,8.2897954e-05,403
0.0105522,1.440011e-05,107,0.0105493,1.7299317e-05,101,0.0105466,1.9999221e-05,103,0.0105453,2.1299347e-05,102,0.0105666,7.2997995e-05,413
0.0103025,2.6499853e-05,103,0.0103146,1.440011e-05,95,0.0103017,2.7299859e-05,89,0.0103001,2.889987e-05,89,0.010329,9.709969e-05,376
0.0102798,4.220009e-05,101,0.010281,4.0999614e-05,90,0.0103102,1.1799857e-05,109,0.0102782,4.38001e-05,107,0.010322,0.00013879966,407
0.0100585,3.9599836e-05,92,0.0100875,1.0599382e-05,91,0.010057,4.1099265e-05,103,0.0100574,4.0699728e-05,85,0.0100981,0.00013199821,371
0.0101121,2.0000152e-05,89,0.0101141,1.8000603e-05,103,0.0101199,1.2200326e-05,89,0.0101088,2.330076e-05,89,0.0101321,7.350184e-05,370
0.0100815,3.1700358e-05,106,0.010104,9.200536e-06,96,0.0100805,3.27006e-05,100,0.010078,3.5200268e-05,85,0.0101132,0.00010880176,387
0.0102017,7.799827e-06,100,0.0101992,1.0299496e-05,100,0.0101961,1.3399869e-05,103,0.0101956,1.3899989e-05,111,0.0102095,4.539918e-05,414
0.0101905,6.100163e-06,93,0.0101549,4.169997e-05,106,0.0101561,4.0500425e-05,98,0.0101786,1.7999671e-05,99,0.0101966,0.00010630023,396
0.00999,2.9900111e-05,104,0.0099859,3.4000725e-05,96,0.0099856,3.430061e-05,97,0.0100078,1.2100674e-05,92,0.0100199,0.00011030212,389
0.0101124,8.99937e-06,104,0.0101116,9.799376e-06,93,0.0101075,1.3899989e-05,87,0.0101097,1.1699274e-05,100,0.0101214,4.439801e-05,384
0.0102265,1.9200146e-05,105,0.0102148,3.090035e-05,101,0.0102362,9.500422e-06,109,0.010211,3.4700148e-05,106,0.0102457,9.430107e-05,421
0.0101437,1.2500212e-05,94,0.0101466,9.600073e-06,103,0.0101416,1.4600344e-05,106,0.0101354,2.0800158e-05,92,0.0101562,5.7500787e-05,395
0.0101844,1.190044e-05,86,0.0101813,1.4999881e-05,105,0.0101819,1.440011e-05,103,0.0101799,1.640059e-05,93,0.0101963,5.770102e-05,387
0.0099365,1.4799647e-05,92,0.0099337,1.7600134e-05,90,0.0099316,1.9700266e-05,87,0.0099296,2.1699816e-05,91,0.0099513,7.379986e-05,360
0.0103079,3.9100647e-05,106,0.0103352,1.1800788e-05,100,0.0103064,4.0600076e-05,107,0.0103026,4.4399872e-05,100,0.010347,0.00013590138,413
0.010177,1.2199394e-05,105,0.0101578,3.139954e-05,91,0.0101563,3.28999e-05,95,0.0101752,1.3999641e-05,89,0.0101892,9.049848e-05,380
